Flow;Area;Perim.;Circularity;Major;Minor;Aspect.Ratio;Angle;cellComment;Comment
1;484.333;97.439;0.641;39.141;15.755;2.484;47.828;;"Flow1 :30 dyne/cm^2
Flow2: 2 dyne/cm^2
Flow3: 80 dyne/cm^2"
1;1149.873;195.166;0.379;79.567;18.4;4.324;36.446;;
1;1216.49;186.127;0.441;79.373;19.514;4.068;42.499;;"""change"" in column ""cellComment"": cell  orientation  changed by 90 degrees in confocal images"
1;593.323;164.335;0.276;76.191;9.915;7.684;25.863;;
1;695.731;215.646;0.188;99.564;8.897;11.191;25.413;;Circularity=4*pi*area/Perim.^2
1;666.558;105.589;0.751;42.963;19.754;2.175;8.848;;Aspect.Ratio=Major/Minor
1;839.388;112.667;0.831;42.503;25.145;1.69;12.904;;
1;905.521;155.147;0.473;68.636;16.798;4.086;178.353;;
1;331.474;99.859;0.418;48.253;8.747;5.517;175.919;;
1;605.606;141.261;0.381;59.189;13.027;4.543;177.548;;
1;514.236;117.075;0.471;49.755;13.159;3.781;21.729;;
1;1617.869;280.062;0.259;133.904;15.384;8.704;171.766;;
1;1061.434;268.626;0.185;108.144;12.497;8.654;173.851;;
1;1291.767;213.484;0.356;85.527;19.23;4.447;22.269;;
1;1291.767;213.484;0.356;85.527;19.23;4.447;22.269;;
1;1136.538;216.302;0.305;92.394;15.662;5.899;148.092;;
1;705.718;151.346;0.387;68.781;13.064;5.265;171.567;;
1;1446.88;200.11;0.454;81.78;22.527;3.63;147.7;;
1;1330.733;283.888;0.207;138.858;12.202;11.38;147.139;;
1;716.282;123.03;0.595;43.756;20.843;2.099;168.006;;
1;911.862;121.609;0.775;49.456;23.476;2.107;133.973;;
1;1551.9724;241.14374;0.33538;100.11475;19.73768;5.07227;77.88083;;
1;3210.15961;513.51249;0.15298;181.07781;22.57208;8.0222;79.30965;;
1;3190.884;385.217;0.27;170.713;23.799;7.173;155.644;;
1;2620.248;411.007;0.195;186.172;17.92;10.389;151.725;;
1;1909.046;350.219;0.196;163.996;14.822;11.065;155.455;;
1;1527.20386;188.22644;0.54168;79.4343;24.4793;3.24496;174.09323;;
1;2623.67998;315.96708;0.33025;130.01629;25.6935;5.06028;171.10089;;
1;955.86547;168.6731;0.4222;73.90904;16.46681;4.48837;173.39756;;
1;8129.87833;498.79576;0.41063;216.34021;47.84724;4.52148;12.43978;;
1;1400.22383;245.28497;0.29246;95.74516;18.62047;5.14193;8.67171;;
1;1911.15702;303.03559;0.26153;116.56858;20.87493;5.58414;169.32661;;
1;3607.81107;375.12088;0.32219;169.84538;27.04582;6.27991;172.94656;;
1;3093.29086;430.53218;0.20971;212.53813;18.53079;11.46946;176.14757;;
1;3713.69949;438.79409;0.24238;201.98419;23.4099;8.62815;3.13096;;
1;2978.36318;393.99129;0.24111;186.7562;20.30546;9.19734;179.4325;;
1;3713.69949;438.79409;0.24238;201.98419;23.4099;8.62815;3.13096;;
1;2978.36318;393.99129;0.24111;186.7562;20.30546;9.19734;179.4325;;
1;3159.72222;459.25582;0.18826;205.69447;19.55854;10.51686;173.35951;;
1;3159.72222;459.25582;0.18826;205.69447;19.55854;10.51686;173.35951;;
1;3993.05556;345.64185;0.42001;130.93533;38.82922;3.37208;2.1691;;
1;1675.8494;166.45508;0.76007;58.91815;36.21562;1.62687;176.52518;;
1;4627.09481;475.03091;0.25768;215.50191;27.33804;7.88286;1.43506;;
1;1743.4286;216.3538;0.46804;98.54404;22.52599;4.37468;1.68195;;
1;1952.7663;233.0776;0.45171;86.05557;28.89225;2.9785;9.74665;;
1;3479.39624;339.59316;0.37914;147.6039;30.01347;4.91792;163.07338;;
1;2942.63659;368.0864;0.27293;169.11671;22.15441;7.63355;167.01587;;
1;2132.9775;243.04544;0.45375;100.36979;27.05786;3.70945;173.60687;;
1;2278.60996;272.92421;0.38441;105.48329;27.50404;3.83519;167.93778;;
1;2614.21028;337.97833;0.28759;165.26933;20.13995;8.20604;170.32569;;
1;2396.26377;280.52937;0.38264;111.74188;27.30416;4.09249;170.31189;;
1;2117.62511;257.63197;0.40092;112.07015;24.05854;4.65823;168.33954;;
1;1091.84288;227.16801;0.26587;85.75335;16.21135;5.28971;79.36698;change;
1;1742.62756;255.07294;0.33658;121.96771;18.19156;6.70463;103.05302;change;
1;901.19129;151.49652;0.49343;55.68012;20.60758;2.70192;97.7524;change;
1;1697.47068;221.42592;0.43507;95.60363;22.60674;4.22899;104.34584;change;
1;549.18169;101.08187;0.67543;40.22772;17.38204;2.31433;97.91464;change;
1;957.05347;210.58187;0.27121;80.21185;15.19175;5.27996;104.16903;change;
1;2035.46607;303.86394;0.27702;105.89109;24.47454;4.32658;98.97905;change;
1;2103.29872;303.64484;0.28667;123.04303;21.76477;5.65331;77.83405;change;
1;1097.97478;179.60948;0.4277;63.05919;22.16941;2.84442;100.66887;change;
1;1657.27819;250.57968;0.33168;102.30773;20.62515;4.96034;99.83595;change;
1;795.50132;174.49997;0.32829;66.9146;15.13666;4.4207;94.55222;change;
1;1271.20604;221.34344;0.32606;79.67879;20.31343;3.92247;77.75712;change;
1;1282.49447;196.11287;0.41904;79.78259;20.46716;3.89808;94.23258;change;
1;773.40898;171.40977;0.33079;80.55981;12.22365;6.59049;89.7828;change;
1;919.19622;199.86972;0.28915;84.76729;13.80671;6.13957;101.75467;change;
1;1205.51441;294.01539;0.17524;123.76161;12.40214;9.97905;87.08169;change;
1;1476.74786;321.22954;0.17984;126.29107;14.88826;8.4826;87.26525;change;
1;212.35428;90.77223;0.32387;42.77147;6.32145;6.76608;88.31546;change;
1;1765.79103;226.03628;0.4343;83.33443;26.97894;3.08887;87.88349;change;
1;810.384;202.815;0.248;81.147;12.715;6.382;105.257;change;
1;1020.238;210.399;0.29;62.899;20.652;3.046;93.685;change;
1;665.813;136.715;0.448;52.746;16.072;3.282;96.379;change;
1;2056.797;260.643;0.38;110.074;23.791;4.627;103.025;change;
1;2002.774;249.861;0.403;104.229;24.465;4.26;90.413;change;
1;1016.747;167.713;0.454;57.989;22.324;2.598;97.159;change;
1;1902.732;335.624;0.212;132.049;18.347;7.197;95.114;change;
1;1902.732;335.624;0.212;132.049;18.347;7.197;95.114;change;
1;1141.898;181.852;0.434;59.42;24.468;2.428;116.783;change;
1;1350.026;222.142;0.344;91.752;18.734;4.897;74.338;change;
1;1503.542;229.768;0.358;84.173;22.743;3.701;91.758;change;
1;764.875;156.603;0.392;67.698;14.385;4.706;95.449;change;
1;1078.695;184.491;0.398;69.607;19.731;3.528;74.426;change;
1;957.31;222.854;0.242;85.584;14.242;6.009;59.938;change;
1;973.042;209.294;0.279;79.932;15.5;5.157;87.843;change;
1;831.256;174.795;0.342;72.435;14.612;4.957;77.436;change;
1;722.778;137.852;0.478;50.052;18.386;2.722;93.906;change;
1;1256.417;187.51;0.449;82.218;19.457;4.226;75.493;change;
1;755.341;222.292;0.192;67.03;14.348;4.672;87.295;change;
1;1210.947;190.563;0.419;79.439;19.409;4.093;123.865;change;
1;1168.811;219.478;0.305;93.266;15.956;5.845;109.079;change;
1;1155.629;206.224;0.341;93.562;15.726;5.949;103.473;change;
1;647.021;142.125;0.403;56.329;14.625;3.852;112.149;change;
1;852.677;152.228;0.462;65.407;16.599;3.941;90.305;change;
1;1234.643;179.441;0.482;61.712;25.473;2.423;87.673;change;
1;895.872;207.011;0.263;88.771;12.849;6.909;102.764;change;
1;934.829;225.126;0.232;93.642;12.711;7.367;88.905;change;
1;488.679;121.095;0.419;42.255;14.725;2.87;93.809;change;
1;838.435;129.032;0.633;49.543;21.548;2.299;113.719;change;
1;1391.53361;230.78736;0.32831;100.85056;17.56813;5.74054;82.5437;change;
1;643.88197;122.21523;0.54171;43.40758;18.88647;2.29834;60.4139;change;
1;855.7761;242.36342;0.18308;88.70912;12.28293;7.22215;90.2691;change;
1;723.79835;289.73308;0.10835;80.77476;11.40912;7.07984;74.97837;change;
1;808.658;228.86522;0.19401;92.68785;11.10842;8.34393;75.30635;change;
1;1597.03286;255.13454;0.30831;107.51035;18.91358;5.68429;89.48953;change;
1;700.92586;162.62184;0.33306;64.9307;13.7446;4.72409;82.94755;change;
1;1015.76595;207.65362;0.29602;79.60276;16.24709;4.89951;89.26078;change;
1;964.44998;197.09006;0.312;89.45617;13.72712;6.51675;95.15998;change;
1;833.9238;197.27879;0.26926;76.70448;13.84254;5.54121;108.28695;change;
1;909.68155;216.2701;0.2444;85.0904;13.61191;6.25117;81.97891;change;
1;1354.93001;249.87718;0.27269;93.69038;18.41332;5.08819;86.7749;change;
1;1074.22222;193.60961;0.36012;72.52364;18.85926;3.84552;93.35581;change;
1;895.24403;219.67479;0.23313;75.74516;15.04862;5.03336;96.24065;change;
1;979.08366;181.35046;0.3741;70.05768;17.79402;3.93715;114.23489;change;
1;1556.5058;252.36932;0.30711;115.62899;17.13934;6.74641;74.32653;change;
1;1600.44608;281.50298;0.2538;135.599;15.02777;9.02323;83.3992;change;
1;1555.60346;200.63493;0.48562;67.28943;29.43487;2.28604;69.07483;change;
1;931.21999;165.16189;0.42899;68.23346;17.37661;3.92674;124.15254;change;
1;600.09862;164.18428;0.27975;72.90292;10.48064;6.95596;81.80201;change;
1;1619.31686;228.29105;0.39045;104.71981;19.68852;5.31883;106.46031;change;
1;1732.58077;239.85144;0.37846;88.75506;24.85481;3.57094;100.43872;change;
1;984.22294;181.72697;0.37451;72.32169;17.32747;4.17382;74.17382;change;
1;1200.15801;247.24196;0.24672;105.068;14.54381;7.22424;83.54648;change;
1;1662.47249;247.60463;0.34076;95.49356;22.16616;4.30808;85.0798;change;
1;1438.61247;241.25918;0.31059;109.61098;16.7109;6.55925;74.14437;change;
1;824.1548;138.88171;0.53694;60.06119;17.47129;3.43771;109.87549;change;
1;499.70294;123.82922;0.40952;53.2114;11.95687;4.45028;70.52297;change;
1;1246.25607;164.23575;0.58061;68.15459;23.28211;2.92734;95.8121;change;
1;588.28967;114.39828;0.56489;43.6941;17.14267;2.54885;114.28128;change;
1;545.64407;142.72483;0.3366;59.82637;11.61253;5.15188;92.6514;change;
1;1827.87624;282.78851;0.28723;115.48502;20.15261;5.73052;81.02072;change;
1;557.9238;143.21082;0.34185;67.53128;10.51914;6.41985;79.54835;change;
1;1018.51205;191.20105;0.3501;71.15809;18.22435;3.90456;117.22604;change;
1;1168.26208;189.83185;0.40739;77.15993;19.27785;4.00252;90.59628;change;
1;884.21958;158.21047;0.44391;71.24596;15.80193;4.50869;74.8873;change;
1;879.31554;182.07684;0.33331;83.70846;13.37474;6.2587;89.60247;change;
1;868.44816;168.22706;0.38562;75.88458;14.57137;5.20778;87.18125;change;
1;581.34564;164.61713;0.26958;54.03158;13.69925;3.94413;97.32268;change;
1;1403.89204;247.13141;0.28886;105.42015;16.95588;6.21732;90.67899;change;
1;1122.24267;242.8657;0.23909;106.92028;13.36401;8.00061;92.44073;change;
1;1296.19912;235.62106;0.2934;108.2233;15.24969;7.09675;83.15939;change;
1;1498.59904;219.63914;0.39037;80.76305;23.6256;3.41845;91.52448;change;
1;1213.30106;240.97324;0.26257;106.74497;14.47209;7.37592;82.6146;change;
1;622.53955;172.68555;0.26234;71.3003;11.11695;6.41366;96.77585;change;
1;1248.96311;177.78114;0.49658;67.19684;23.66524;2.83947;91.28453;change;
1;577.77539;128.68246;0.43846;53.93418;13.63971;3.9542;90.35603;change;
1;949.61998;184.96898;0.34879;61.92503;19.52512;3.17156;85.92646;change;
1;643.48965;127.0098;0.50128;43.14979;18.98773;2.27251;78.83591;change;
1;1187.52518;200.97339;0.36947;79.26167;19.07611;4.15502;69.81734;change;
1;1494.63633;202.65354;0.45734;74.16699;25.65872;2.89052;72.08114;change;
1;1116.67149;196.37099;0.3639;78.85974;18.02936;4.37396;97.09878;change;
1;902.7765;201.94157;0.27819;83.62604;13.74513;6.08405;106.4885;change;
1;1103.52864;191.22555;0.37923;88.37549;15.89871;5.55866;102.32461;change;
1;793.43584;123.99925;0.64846;50.90696;19.84471;2.56527;115.67401;change;
1;1177.2463;207.65504;0.34308;63.55171;23.58578;2.69449;77.78048;change;
1;673.34549;167.12187;0.30296;65.99423;12.99099;5.08;114.65558;change;
1;680.60349;209.95016;0.19403;85.22472;10.16807;8.3816;110.16781;change;
1;1835.72272;273.1624;0.30915;123.10487;18.98637;6.48385;103.15856;change;
1;1001.64213;175.75969;0.40746;70.11101;18.19016;3.85434;110.4781;change;
1;784.41239;227.51005;0.19044;77.72474;12.84977;6.04873;93.81276;change;
1;843.57483;186.8977;0.30348;77.01308;13.94663;5.52199;107.82032;change;
1;775.07508;177.45792;0.30929;73.79699;13.37258;5.51853;111.12997;change;
1;893.63536;204.4319;0.2687;61.75987;18.42316;3.3523;106.50831;change;
1;731.48789;140.03144;0.46878;56.02156;16.62502;3.36971;62.89222;change;
1;1112.23823;202.4842;0.3409;74.28563;19.06352;3.89674;80.55772;change;
1;726.81924;175.76024;0.29566;54.5059;16.97825;3.21034;78.81174;change;
1;1256.37803;277.07644;0.20565;119.6715;13.36718;8.95264;82.24408;change;
1;1204.15972;175.14064;0.49331;81.55186;18.80011;4.33784;81.85353;change;
1;671.34464;173.78254;0.27935;69.42453;12.3124;5.63859;104.71565;change;
1;1274.97418;228.99297;0.30554;88.1429;18.41722;4.7859;86.2744;change;
1;802.53775;218.92094;0.21043;89.75972;11.38398;7.88474;78.78801;change;
1;1034.95042;249.94083;0.20819;115.70013;11.38927;10.1587;98.11361;change;
1;854.16757;158.1791;0.429;68.88426;15.78822;4.36302;72.41408;change;
1;804.93106;159.94296;0.3954;71.68192;14.29747;5.01361;90.14432;change;
1;865.38818;176.54639;0.3489;76.72819;14.36039;5.34305;84.9669;change;
1;741.02149;161.19227;0.35839;62.27806;15.14976;4.11083;75.08382;change;
1;453.0557;99.16954;0.5789;38.71968;14.89807;2.59897;79.39382;change;
1;1138.64181;254.64783;0.22066;94.7422;15.3022;6.19141;69.20458;change;
1;849.85215;198.11325;0.2721;85.07108;12.71954;6.68822;87.5352;change;
1;791.78821;189.73694;0.27639;62.35791;16.16693;3.85713;89.18158;change;
1;1279.52535;233.46637;0.29499;79.7551;20.42681;3.90443;83.32199;change;
1;1176.18722;292.51881;0.17273;87.43242;17.12829;5.10456;67.49677;change;
1;911.56471;202.51975;0.27929;83.69314;13.86781;6.03507;77.22195;change;
1;912.82015;187.7234;0.32551;84.27773;13.79058;6.11125;85.73041;change;
1;1227.11087;206.48517;0.36167;80.89895;19.31306;4.18882;82.95931;change;
1;512.88511;180.11348;0.19867;81.43601;8.01888;10.15554;78.48727;change;
1;867.97752;181.57741;0.33082;74.81562;14.77156;5.06484;97.74972;change;
1;399.34655;114.86751;0.38033;48.07626;10.57619;4.54571;68.85521;change;
1;813.75835;170.18199;0.35308;72.6724;14.25726;5.09722;72.70116;change;
1;1083.20644;255.10961;0.20915;75.32144;18.31061;4.11354;86.29985;change;
1;1347.27969;224.81534;0.33498;88.8285;19.31148;4.59978;88.96202;change;
1;861.6611;166.16657;0.39216;69.96345;15.68106;4.46165;77.3112;change;
1;956.83889;193.04701;0.32264;73.09181;16.66788;4.38519;76.79192;change;
1;834.51228;180.64091;0.32137;67.51758;15.73715;4.29033;78.78357;change;
2;1.54E+03;2.15E+02;4.17E-01;8.12E+01;2.41E+01;3.37E+00;8.90E+01;change;change: plate orientation  changed by 90 degrees
2;1.83E+03;2.44E+02;3.87E-01;9.08E+01;2.56E+01;3.54E+00;7.77E+01;change;
2;1.08E+03;1.70E+02;4.67E-01;7.35E+01;1.87E+01;3.93E+00;1.05E+02;change;
2;1.89E+03;2.66E+02;3.36E-01;1.11E+02;2.17E+01;5.11E+00;9.90E+01;change;
2;1.37E+03;1.87E+02;4.95E-01;7.62E+01;2.29E+01;3.32E+00;7.87E+01;change;
2;1.14E+03;1.74E+02;4.75E-01;7.30E+01;1.99E+01;3.67E+00;9.12E+01;change;
2;1.28E+03;1.81E+02;4.93E-01;6.66E+01;2.44E+01;2.73E+00;8.37E+01;change;
2;8.55E+02;1.64E+02;3.97E-01;6.20E+01;1.76E+01;3.53E+00;8.70E+01;change;
2;1.97E+03;2.03E+02;6.01E-01;7.74E+01;3.24E+01;2.39E+00;1.00E+02;change;
2;1.14E+03;1.65E+02;5.29E-01;7.03E+01;2.07E+01;3.40E+00;9.41E+01;change;
2;1.27E+03;2.06E+02;3.75E-01;7.40E+01;2.18E+01;3.39E+00;9.93E+01;change;
2;8.59E+02;1.42E+02;5.38E-01;5.78E+01;1.89E+01;3.06E+00;8.03E+01;change;
2;2.76E+03;3.24E+02;3.30E-01;1.17E+02;3.01E+01;3.88E+00;7.71E+01;change;
2;1.41E+03;2.44E+02;2.99E-01;1.06E+02;1.71E+01;6.18E+00;1.01E+02;change;
2;5.76E+02;1.27E+02;4.48E-01;5.21E+01;1.41E+01;3.70E+00;9.27E+01;change;
2;4.09E+02;1.13E+02;4.03E-01;3.65E+01;1.43E+01;2.55E+00;1.01E+02;change;
2;1.54E+03;2.91E+02;2.27E-01;8.69E+01;2.25E+01;3.86E+00;9.35E+01;change;
2;2.05E+03;2.70E+02;0.355;1.17E+02;2.24E+01;5.207;1.02E+02;change;
2;2.39E+03;2.76E+02;3.94E-01;1.25E+02;2.44E+01;5.10E+00;9.58E+01;change;
2;1.94E+03;2.20E+02;5.03E-01;9.22E+01;2.68E+01;3.45E+00;1.22E+02;change;
2;1.26E+03;1.88E+02;4.46E-01;7.29E+01;2.20E+01;3.32E+00;1.10E+02;change;
2;1.74E+03;1.90E+02;6.02E-01;7.56E+01;2.92E+01;2.59E+00;1.18E+02;change;
2;2.07E+03;3.72E+02;1.87E-01;1.62E+02;1.63E+01;9.90E+00;9.41E+01;change;
2;1.40E+03;2.61E+02;2.58E-01;1.11E+02;1.61E+01;6.91E+00;8.74E+01;change;
2;1.16E+03;1.81E+02;4.46E-01;7.52E+01;1.96E+01;3.83E+00;8.55E+01;change;
2;2.31E+03;2.01E+02;7.20E-01;7.76E+01;3.79E+01;2.05E+00;7.07E+01;change;
2;1.01E+03;1.60E+02;4.98E-01;6.53E+01;1.97E+01;3.31E+00;1.06E+02;change;
2;1.05E+03;1.83E+02;3.96E-01;6.98E+01;1.91E+01;3.65E+00;1.06E+02;change;
2;1.03E+03;1.73E+02;4.31E-01;7.04E+01;1.85E+01;3.80E+00;1.10E+02;change;
2;1.77E+03;1.84E+02;6.54E-01;6.59E+01;3.41E+01;1.93E+00;9.46E+01;change;
2;1004.351;237.455;0.224;89.939;14.218;6.326;95.968;change;
2;935.837;196.513;0.305;79.638;14.962;5.323;100.262;change;
2;1592.072;158.338;0.798;56.119;36.121;1.554;99.807;change;
2;1351.3;157.932;0.681;58.695;29.313;2.002;78.169;change;
2;1077.147;151.054;0.593;55.096;24.892;2.213;93.234;change;
2;1968.995;202.507;0.603;64.947;38.601;1.683;88.095;change;
2;1329.987;156.556;0.682;58.943;28.729;2.052;83.937;change;
2;1013.207;143.243;0.621;47.492;27.164;1.748;84.82;change;
2;1857.271;185.181;0.681;68.543;34.5;1.987;101.98;change;
2;1223.226;145.349;0.728;51.712;30.118;1.717;89.03;change;
2;1152.279;157.733;0.582;59.083;24.832;2.379;97.703;change;
2;2013.568;227.845;0.487;99.722;25.709;3.879;120.709;change;
2;1626.134;194.753;0.539;78.904;26.24;3.007;135.828;change;
2;1571.732;160.338;0.768;52.473;38.138;1.376;158.538;change;
2;1644.528;178.586;0.648;69.555;30.104;2.31;129.116;change;
2;1903.596;183.912;0.707;70.288;34.483;2.038;118.262;change;
2;921.336;152.705;0.497;46.865;25.031;1.872;109.268;change;
2;807.763;116.1;0.753;40.15;25.616;1.567;110.803;change;
2;899.147;170.334;0.389;79.055;14.482;5.459;121.814;change;
2;872.481;137.072;0.584;42.94;25.871;1.66;102.22;change;
2;582.076;100.396;0.726;37.061;19.997;1.853;114.191;change;
2;1082.305;161.036;0.524;64.876;21.241;3.054;11.051;change;
2;1508.084;182.932;0.566;58.709;32.706;1.795;4.95;change;
2;1089.799;159.592;0.538;60.716;22.854;2.657;77.077;change;
2;654.483;107.73;0.709;32.986;25.263;1.306;71.654;change;
2;1631.973;182.946;0.613;58.244;35.676;1.633;96.54;change;
2;606.99;128.52;0.462;46.67;16.56;2.818;82.713;change;
2;870.924;185.823;0.317;65.327;16.975;3.849;8.766;change;
2;788.396;134.596;0.547;40.89;24.549;1.666;153.106;change;
2;1627.691;170.87;0.701;51.098;40.558;1.26;122.658;change;
2;2678.172;253.045;0.526;100.785;33.834;2.979;102.712;change;
2;1448.523;197.414;0.467;82.213;22.433;3.665;118.258;change;
2;1048.34;195.299;0.345;65.273;20.449;3.192;120.838;change;
2;1448.718;178.747;0.57;68.906;26.769;2.574;94.71;change;
2;2194.39;240.562;0.477;91.192;30.638;2.976;118.341;change;
2;1184.784;204.97;0.354;85.271;17.691;4.82;124.816;change;
2;1489.496;223.389;0.375;94.175;20.138;4.676;103.508;change;
2;1339.913;212.059;0.374;94.365;18.079;5.22;98.494;change;
2;953.258;147.696;0.549;56.256;21.575;2.607;104.269;change;
2;1784.475;184.127;0.661;72.099;31.513;2.288;100.287;change;
2;2124.903;239.572;0.465;105.817;25.568;4.139;108.332;change;
2;2224.657;212.628;0.618;81.431;34.784;2.341;127.073;change;
2;1840.629;202.483;0.564;88.287;26.545;3.326;127.06;change;
2;2657.443;231.253;0.624;94.192;35.922;2.622;119.424;change;
2;1085.906;131.629;0.788;50.315;27.479;1.831;129.626;change;
2;1558.788;164.713;0.722;47.343;41.922;1.129;112.741;change;
2;1736.593;219.871;0.451;90.262;24.496;3.685;135.221;change;
2;915.303;137.448;0.609;47.602;24.482;1.944;113.683;change;
2;1426.042;175.044;0.585;74.999;24.21;3.098;111.581;change;
2;1850.848;194.522;0.615;71.189;33.103;2.151;129.8;change;
2;1674.989;206.716;0.493;70.701;30.164;2.344;124.776;change;
2;702.754;121.641;0.597;46.512;19.238;2.418;130.967;change;
2;1102.548;176.861;0.443;80.153;17.514;4.576;101.58;change;
2;1341.86;149.735;0.752;54.921;31.108;1.765;98.809;change;
2;863.333;128.683;0.655;47.521;23.131;2.054;120.651;change;
2;1083.668;166.999;0.488;66.794;20.657;3.233;90.682;change;
2;1009.314;198.694;0.321;90.148;14.255;6.324;117.399;change;
2;1839.851;177.965;0.73;67.459;34.726;1.943;153.623;change;
2;1006.881;175.08;0.413;73.826;17.365;4.251;55.893;change;
2;1258.553;147.819;0.724;54.897;29.19;1.881;50.501;change;
2;1553.922;191.924;0.53;71.974;27.489;2.618;51.09;change;
2;1453.39;156.909;0.742;53.191;34.79;1.529;46.91;change;
2;1809.973;161.36;0.874;53.996;42.68;1.265;150.823;change;
2;1046.296;181.451;0.399;56.381;23.628;2.386;88.442;change;
2;1243.274;149.289;0.701;58.5;27.06;2.162;61.048;change;
2;891.362;122.658;0.745;41.048;27.649;1.485;37.148;change;
2;2139.599;208.134;0.621;71.474;38.115;1.875;83.262;change;
2;1295.827;201.704;0.4;84.244;19.585;4.301;46.558;change;
2;1055.931;137.317;0.704;56.188;23.928;2.348;75.46;change;
2;1677.811;267.738;0.294;101.549;21.037;4.827;46.783;change;
2;1216.997;201.659;0.376;82.567;18.767;4.4;42.526;change;
2;1452.514;242.767;0.31;102.542;18.036;5.686;53.804;change;
2;592.684;122.716;0.495;50.264;15.013;3.348;110.648;change;
2;1107.803;148.884;0.628;62.6;22.532;2.778;88.561;change;
2;1242.885;273.384;0.209;111.491;14.194;7.855;99.741;change;
2;1197.922;188.774;0.422;76.808;19.858;3.868;92.366;change;
2;1576.208;311.556;0.204;124.313;16.144;7.7;107.887;change;
2;2322.367;288.657;0.35;111.177;26.597;4.18;83.716;change;
2;722.997;173.375;0.302;63.305;14.541;4.353;100.541;change;
2;452.347;89.365;0.712;36.949;15.588;2.37;108.795;change;
2;452.347;89.365;0.712;36.949;15.588;2.37;108.795;change;
2;982.649;162.692;0.467;69.569;17.984;3.868;99.473;change;
2;496.531;123.156;0.411;44.986;14.053;3.201;107.345;change;
2;508.793;123.855;0.417;51.632;12.547;4.115;103.291;change;
2;1743.142;192.813;0.589;60.332;36.787;1.64;141.425;change;
2;1617.74;164.674;0.75;65;31.689;2.051;169.01;change;
2;1402.806;154.201;0.741;54.552;32.742;1.666;129.562;change;
2;2149.047;224.97;0.534;96.674;28.304;3.416;168.369;change;
2;2549.788;213.721;0.701;81.32;39.922;2.037;165.488;change;
2;1234.504;152.326;0.669;51.6;30.461;1.694;27.124;change;
2;1998.967;189.138;0.702;61.686;41.26;1.495;3.477;change;
2;1085.285;136.065;0.737;41.902;32.977;1.271;15.976;change;
2;971.505;138.53;0.636;46.175;26.788;1.724;175.988;change;
2;971.505;138.53;0.636;46.175;26.788;1.724;175.988;change;
2;1763.946;176.594;0.711;55.16;40.717;1.355;177.028;change;
2;1334.653;181.395;0.51;73.559;23.102;3.184;158.476;change;
2;2600.006;205.289;0.775;75.51;43.841;1.722;6.548;change;
2;1451.446;177.32;0.58;62.16;29.73;2.091;19.308;change;
2;1424.185;170.772;0.614;63.653;28.488;2.234;166.458;change;
2;1158.747;148.274;0.662;53.445;27.605;1.936;163.266;change;
2;1244.978;178.386;0.492;64.155;24.708;2.597;175.146;change;
2;2769.025;256.651;0.528;100.559;35.06;2.868;160.223;change;
2;1153.438;150.213;0.642;60.279;24.363;2.474;150.184;change;
2;1374.397;147.234;0.797;49.577;35.297;1.405;162.337;change;
2;1001.779;125.194;0.803;47.754;26.71;1.788;166.367;change;
2;2023.502;191.566;0.693;63.534;40.552;1.567;44.706;change;
2;1574.696;176.469;0.635;64.475;31.097;2.073;157.809;change;
2;1332.645;176.896;0.535;72.108;23.531;3.064;116.147;change;
2;1602.818;173.114;0.672;64.789;31.499;2.057;171.487;change;
2;2910.067;232.984;0.674;87.895;42.155;2.085;138.95;change;
2;3128.587;275.004;0.52;111.225;35.814;3.106;174.039;change;
